IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
z̤	C221C85655FB3DCC346A7D65B67BFB54	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	+	-	+	-	-			-
ö	C263737D37ECDE8574E63936C2E05507	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
n̪d̪z̪	C283629BAE5982FAD2482A1AD4A654CD	c-d-c-d-c-d	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	+,-	+	-			-	+,-	-	-	+	-	-			-
˩˥	C2C6C506DDACEEC2A68B71A756543103	t-t	tone																																				+	
pʷˠ	C2F66CB90EC1BC307AA8BF54B6B07F4C	c-d-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ᴅ̪̰	C33695F04BEF22A1AA58BA20CA425634	c-d-d	consonant		+	+		-	+	+	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
o̰ˑ	C34C1F40A90CEB185A4F67E3177D6CA2	v-d-d	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-		+	-	+		-
ɴ	C39DA742ED3DD44A5EFDBCC9003F49B6	c	consonant			-	+	-	+	-	-	-			+	-	-	-	-	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
tɾ	C3B7AABB0EC65B735D56CF7DDAF46244	c-c	consonant		+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	-,+	-			-	-,+	-	-	-	-	-,+			-
ʼŋǀ	C3DA1E34235C9A1D660BEFC576398126	c-c-c	consonant		+	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	+	+			-	-	-	-	-	-	-			-
o̟	C3F0AE0604BD4361DA3DB144F88CFAAB	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
z͇̪	C3FC5E7097D27CCF331052361964688E	c-d-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɬ̻	C41A2F5B6780362637540D1DBDF0010C	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		+	-		-	-	-	-			-	-	-	-	-	-	-			-
r̪	C425D93352850DE1476444DA0C387C7F	c-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
ɬʼ	C457E0F1350BE9BECABE6FEFD1348B8E	c-c	consonant		+	-		-	+	+	+	+	+	-	-	-	-			-		+	-		-	-	-	+			-	-	-	-	-	-	-			-
ɖr	C45FD7EE3AB874593FEAA8ED0882462A	c-c	consonant		-,+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-,+	-	-	-	-	-			-,+
t̻ʲ	C4684A9553002BD3DB628B212E5E5C18	c-d-d	consonant		+	-	+	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
kǀʼ	C4BF47EF9EAF519D7D0F1B116497A950	c-c-c	consonant		+	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
dz̃	C4C4FE471FA721ED7363BDAC712C4454	c-c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	+	+	-			-	-	-	-	+	-	-			-
ɬː	C4E402B5422E6E4A01312F22F4975F27	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		+	+		-	-	-	-			-	-	-	-	-	-	-			-
tx	C51681FC5DA2E54A2C3967AFB5AB804A	c-c	consonant		+	-	-	-	+	-	-,+	+,-	-,+	-	-,+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
uˑ	C53B1247C466DE903B1CEEEC7A7C1C96	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-		+	-	+		-
ɹ̰ˤ	C5459F7E950C8D63255EAA4B06BE2BA4	c-d-c	consonant	-	-	+		-	-	+	+	+		+	-	-	-			-		-	-		-	-	+	-	+		-	+	-	-	-	-	-			-
d̠ʒʲ	C54F264931166354FC57F45DF289DF81	c-d-c-d	consonant		-	-	+	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
o̞e̞	C5870A4D6A7051627991BDAEAC2854B2	v-d-v-d	vowel	-		+	+,-		-	-	+	-			+	-		-,+	-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ŋ̥ǀ͓xˀ	C5A3748FAEB2DB72EEBF0023DE4A13DB	c-d-c-d-c-c	consonant		+	-	-	+	+	+	-	+	+	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
kǂ	C5DC482F0D433B8ECFC74D4CBD9C6081	c-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
ia	C615E80D7BD204F79239594B45E22747	v-v	vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+		-
tsʰ	C6880E4D32532681166EBA4D7D3AA2E0	c-c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
ʟ̥͓	C68B519299BBCC0BB092FF654FC1EEB1	c-d-d	consonant			-	-	-	+	-	+	-	+		+	-	-	-	+	-		+	-	-	-	-	-	-			-	-	+	-		-	-			-
ħ	C699D862DAE3202097065A59720E60BC	c	consonant			-	+	-	+	-	+	-	+		+	-	-	-	-	-		-	-	+	-	-	-	-			-	-	-	-		-	-			-
ʕ̰	C6AFF87CDADABB9E9C45A9284DD6CEF8	c-d	consonant			-	+	-	+	+	+	-	+		+	-	-	-	-	-		-	-	+	-	-	+	-			-	-	-	-		-	-			-
dzʼ	C6EE564E255DC4B3802DCA55C91ECA8A	c-c-c	consonant		+	-		-	+	+	-	+	+	-	-	-	-			-		-	-		-	-	+	+			-	-	-	-	+	-	-			-
t̺s̺	C6FAEC5142C263115CD52B0C7B9211C8	c-d-c-d	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ɖɽ	C71FB1B3194368A6354AFB67C94C50BC	c-c	consonant		-	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-,+	-	-	-	-	-,+			-
d̪x	C725352B7367F7286C55D845DCD10CA1	c-d-c	consonant		+	-	-	-	+	-	-,+	+,-	-,+	+	-,+	-	-	-	+	-		-	-	-	-	-	+,-	-			-	-	-	-	-	-	-			-
d̠ʒ	C7364BE7F76504D8DE329FFF30C42424	c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
q͈ʷ	C749F95225239FC24D4A30336D874577	c-d-d	consonant			-	+	-	+	-	-	-	-		+	-	+	-	-	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ð	C74BECEC6C9DBC95D2C92E893F72A8AD	c	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
ɵ	C74D4CD97FCB1EB3BA8BB86CC7A68647	v	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
kxʰ	C76D4FF2C4D47BEA505FD88E94E7DDE4	c-c-c	consonant			-	-	-	+	-	-	-	+		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-		-	-			-
i̙ː	C77C03E35BC092478F90BC4651F0A456	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	+		-	+	-	-		+	-	+		-
pf	C78A087FC613D339B76F3A1FD72CCED9	c-c	consonant			-		-	+	-	-	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
ʰɾ	C78A2CBD7ABECB629A7EF95FE023EAC3	c-c	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	+	-	-	-	+			-
˩˨	C7C4C9A7FC8E91E786EB462D2CA1F5BF	t-t	tone																																				+	
t̪̰	C7F6812829A42850C0B92AD5B0D81443	c-d-d	consonant		+	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ə̃˞	C83457AB5CFB9330BBD0E72996121232	v-c-d	vowel	-	+	+	-		-	-	+	+		+	+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-	+	+	-	-		-
ɡǂ͓ˡx	C83EA9B0D37DA3B70D4545DCE0D0B2FE	c-c-d-d-c	consonant		-	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɪ̤	C85398B46F7993AABA76CDBCC70618ED	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	-		-
l̪̥	C89A7F997BB676431BABFAF742F82EF9	c-d-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	-	-			-	+	+	-	-	-	-			-
k̻	C8B42736801BC9B2958E59403CDC1A5C	c-d	consonant			-	-	-	+	-	-	-	-	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
˧˨˧	C8C21BF112868195E27B3CBF5EEAB4D9	t-t-t	tone																																				+	
s̪ˀ	C8CFA6ADF168D8606476D8A98D153CD1	c-d-c	consonant		+	-		-	+	+	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
pʰʷ	C8D806E355331D45A817A4E96A96E30A	c-c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		+	-	-	+	-		-	-			-
ɛ̃ː	C8E200405D83F3D806F98BC041341BA0	v-c-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	-		-
kᶣ	C8E2CFFBEAAE3F9FEDC3FA884ED72AD1	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ɡ̤ǁ	C8FA8EA9748AADA0DAFA468AECD6B14A	c-d-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	+	-	-	-	-			-
kǁ͓	C9261459643C1096E21B0D41DFC2A89C	c-c-d	consonant		+	-	-	+	+	-	-	+	+	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
b̻	C9302BE2E4F243BF5279EE741832BB9B	c-d	consonant			-		-	+	-	-	-	-	+	-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
ɟʷ	C940939D90DF730E0584843D5CA801A1	c-d	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	+		-	-	-	-	-	+	-		+	-	-	-	-	-	-	-			-
ow	C985ADF521264F9B237F49C0A93F5646	v-c	vowel	-		+	+	-	-	-	+	-			+	-	-	-	-,+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+,-	-	+		-
n̰	CA104009E4C75968ABCCA821A14B49E9	c-d	consonant		+	-		-	+	+	-	+		-	-	-	-			-		-	-		-	+	+	-			-	+	-	-	-	-	-			-
ɭ͓	CA199ADD4F952751566A55C641A9333C	c-d	consonant		-	-		-	+	-	+	+	+	-	-	-	-			-		+	-		-	-	+	-			-	-	-	-	-	-	-			-
ʙ	CA2F64A68D30C86FA3FF3BEF45493C68	c	consonant			+		-	+	-	+	-			-	-	-			+	-	-	-		-	-	+	-		-	-	+	-	-		-	-			+
ä	CA8311C01ED2E1F24E357921E0115843	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
nzʷ	CA8B1B8165E62F96161535E7EFB580AA	c-c-d	consonant		+	-		-	+	-	-,+	+	+	-	-	-	-			+		-	-		-	+,-	+	-		+	-	+,-	-	-	-,+	-	-			-
əu	CAC640ECB741C1BA649D312F2186EB70	v-v	vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-,+		-
ɨa	CACB560618F54E3BD2CA0762C2CFB7B4	v-v	vowel	-		+	-		-	-	+	-			+	-		-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+		-
ˀt̪ɬ	CB14463AA9E9CEAB109C0E7772DFECC0	c-c-d-c	consonant		+	-		-	+	+	-	+	+	+	-	-	-			-		+	-		-	-	-	-			-	-	-	-	-	-	-			-
d̪ð	CB1FAA2C8D8E0D84075C0B77F51E59AB	c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	-	-	-			-
æː	CB37024CEAE9409F30FC756C0578E93C	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
β̞ʲ	CB678218C1A1DA40FC3C3BBA1221F4B4	c-d-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
n̠t̠	CB828A2D3E6652AB5247160759784508	c-d-c-d	consonant		-	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	-	-	-	-	-			-
f̰	CBAA2814CA40ABD896F924F2C6E3070B	c-d	consonant			-		-	+	+	+	-	+		-	-	-			+	+	-	-		-	-	-	-		-	-	-	-	-		-	-			-
kǃxʰ	CBB1F731643454ED2D9F0897B12D5176	c-c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
b̃	CBB4D43CCFBD24E805E0C92C1C16D048	c-c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	+	+	-		-	-	-	-	-		-	-			-
kǁʼʰ	CBB77051C4C7023557F16C80809875CD	c-c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	+	-	-	-	-			-
xʷ	CC1E157E56BC1B4B281FF3ACD292F7DF	c-d	consonant			-	-	-	+	-	+	-	+		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ɤ̤	CC1E59C975C3CABCB4BABD4837524AA1	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	+		-
ʃ͉	CC95C907D85C93819F4EDB8E7F68D45D	c-d	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
iˠ	CCA9EDFCAAEB7A0E30BD7C9B56BF5EA4	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ˀq	CCB829BD4436D8E59C835EF6219331B5	c-c	consonant			-	+	-	+	+	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
o̞	CCF0350A2EFEF792529909972278B165	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
lˀ	CD3A14CC41D26F33A8D7DE865AD85A4A	c-c	consonant		+	+		-	+	+	+	+		-	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
n̪ː	CD52DAE2EAC345283A53C508B0EF9F57	c-d-d	consonant		+	-		-	+	-	-	+		+	-	-	-			-		-	+		-	+	+	-			-	+	-	-	-	-	-			-
ɽ̩	CD54614282DCC16388470E19E197E6D5	c-d	consonant		-	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	+	+			-
ɧ	CD6BA52E37A7F6363AB9794D12697C00	c	consonant		-	-	-	-	+	-	+	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
æɪ	CDB30C9D92E73A25B71549BBC05CC277	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	-		-
jˤ	CDE1BDAAD1408A01DC84100F6695A570	c-c	consonant	-		+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	+	-	+		-	+	-	-		-	-	+		-
ndʲ	CDF026431D7E6E154BE4917050A72D8F	c-c-d	consonant		+	-	+	-	+	-	-	+	-	-	+	-	-	+	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-	-	-	-			-
t̻ʼ	CDF158D18462B5A7E189D5D1CBD916BE	c-d-c	consonant		+	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
ɘ	CEB8A516242B5E336874AC64E81D655E	v	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ˀɡ	CEF20A28023D4C43DE4B2BAC93FD09A1	c-c	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-		-	-			-
n̠̥t̠ʃ	CF0549B795C3319372142F1153AAC581	c-d-d-c-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	+,-	-	-			-	+,-	+	-	+	-	-			-
t̠ʃʲʰ	CF37A734E02D46BC595456049AD114EF	c-d-c-d-c	consonant		-	-	+	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-	+	-	-			-
ɪ	CF50E15F866A7B9698A8F95C5C9B48B2	v	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
o̰ː	CF62073E22820F79C760F550C72A401E	v-d-d	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
w̰	CF906E247F184A2FB8CF5B070B6017F2	c-d	consonant			+	+	-	-	+	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	-	-		-	-	+		-
ɓ	CFA86CE56605194A2F338BA3E3974EA3	c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		+	-	+	-		-	-	-	-	-		-	-			-
e̥ː	CFB991973ED834ADB29BF3EF1B9E1849	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	-	-	-		-	+	+	-		+	-	+		-
ə̥	CFBDFE24574A0BF556BD9BC61EBAF893	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	-	-	-		-	+	+	-		+	-	-		-
xʲ	CFDC3D2764B7C450CAB7DFC1854E8C75	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
ɯ͓	CFE113C5FB098FA8AD3E61FAE8DDFAF0	v-d	vowel	-		-	+		+	-	+	-	+		+	-		-	+	-		-	-	-	-	-	+	-	-		-	-	-	-		+	-	+		-
z̩	CFF7C99CB1993746B3217B300D7F63C9	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	+	-			-
ɲɟʑ	D01FCC1B1BA39329AFF2EDEDC2F6BC14	c-c-c	consonant		-,+	-	-	-	+	-	-,+	+	-,+	+	+	-	-	+	+	-		-	-	-	-	+,-,-	+	-			-	+,-,-	-	-	-,+	-	-			-
l͈ː	D038736EF96D5B8F753F03CD7A6B8EE3	c-d-d	consonant		+	+		-	+	-	+	+		-	-	-	+			-		+	+		-	-	+	-			-	+	-	-	-	-	-			-
ɵ̞	D04E8F48CAEBBBF4F9557E8A12068B7F	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɜ̃	D0CBE8EF51B15F5D346BDB7A51AF682E	v-c	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	-		-
ɛˠ	D0D18A8D7F958B9BC3FB03AE2E9F9323	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
nˠ	D0EAD21ED7DE9145EEB99FC6880B960F	c-d	consonant		+	-	+	-	+	-	-	+		-	+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-	-	-	-			-
t̪ʷ	D116E18B548AB5B17FD36D250EA1CC7E	c-d-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			+		-	-		-	-	-	-		+	-	-	-	-	-	-	-			-
t̪θʼ	D1454D456E0C9686D077A4F36DAF781E	c-d-c-c	consonant		+	-		-	+	+	-,+	+	-,+	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
æi	D14B59BA5755069F9B28460C348641F9	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	-	-		+	-	+		-
l̪̩	D17B8CA4EB5A646E1D1C24E0CAE99E88	c-d-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	+	-			-
ʡ	D17CE01E5AFD7AA148785E96513B07CA	c	consonant			-		-	+	-	-	-	-		-	+	-			-		-	-		-	-	-	-			-	-	-	-		-	-			-
tsˀ	D18309C441A49467E2847B31B2532EC3	c-c-c	consonant		+	-		-	+	+	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
bˀ	D18C31BF7AE0FAB89437E2985CA18469	c-c	consonant			-		-	+	+	-	-	-		-	-	-			+	-	-	-		-	-	+	-		-	-	-	-	-		-	-			-
tçʰ	D19186A73D758358EA4B26D69F124FB8	c-c-c	consonant		+,-	-	-	-	+	-	-	+	-	-,+	-,+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
qʘ	D1AB801D2B774D6061886F9A38655931	c-c	consonant			-	+	+	+	-	-	-	-		+	-	-	-	-	+	-	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
e̙	D1E4289C7E2ED22E7B2A3F402B26638F	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	+		-	+	-	-		+	-	+		-
ɪɛ	D1F6114A28D77623483E1FA14209969F	v-v	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɛɯ	D20014274593FBD404FD95914405CCDF	v-v	vowel	-		+	-,+		-	-	+	-			+	-		+,-	-,+	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-,+		-
ɗʒ	D216058210CA696247766A4A2A3585AA	c-c	consonant		+,-	-		-	+	-	-,+	+	-,+	-,+	-	-	-			-		-	-		+,-	-	+	-			-	-	-	-	-,+	-	-			-
rᶣ	D2AF505F2B7C0CE786B7D944D74C4784	c-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	+	+	+		-	-	-	-	-	+	-		+	-	+	-	-	-	-	-			+
mbː	D2C748673DD86E2C0E01D5D79074EB7F	c-c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	+,-	+	-		-	-	+,-	-	-		-	-			-
ɖ̤	D32D22D7FB8C895910556E91EE6B372A	c-d	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-	+	-	-	-	-			-
ɢʘ	D371480638EC57755BD62DC20B8B7432	c-c	consonant			-	+	+	+	-	-	-	-		+	-	-	-	-	+	-	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
ŋ̤ǀ͓	D3832380A6F669DA7357809C145F56AF	c-d-c-d	consonant		+	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	+	-	-	-	-			-
t̪ʼ	D3867260AB7CFE5A579FD7E8ACD31024	c-d-c	consonant		+	-		-	+	+	-	+	-	+	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
ɯ̤	D3896FC099EA62776CFE8E7F4ED2D214	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	+		-
nts	D38D121D7CE15AA49DC20CE0D6C56D43	c-c-c	consonant		+	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	+,-	-	-			-	+,-	-	-	+	-	-			-
˥	D3A6D5034FDDD41CEFDAD55B7780D218	t	tone																																				+	
we	D3A9930143BF4F28797697BBB84130CC	c-v	consonant	-		+	+,-	-	-	-	+	-			+	-	-	-,+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-,+	-	+		-
rˤ	D406DD44D50CAD5A291766B10F26E6DF	c-c	consonant	-	+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-	+		-	+	-	-	-	-	-			+
ɖʐ	D418E761F17614DCFCAE81181526DD99	c-c	consonant		-	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɡǃx	D419D4B7AE7172EB0B7C719A4CD9C988	c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ʈ͉	D4316B4C3FE69E13E46040B26B53B05B	c-d	consonant		-	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-			-	-	-	-	-	-	-			-
ɑ̃õ	D4795CB8402342252D8DC52FEFF5174C	v-c-v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	-,+	-	-	-	+,-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
l̥	D47E305230AF5B8AD808EC71E2E40B0A	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		+	-		-	-	-	-			-	+	+	-	-	-	-			-
ə̯	D4850AD60D0A661937C9582CC6D4725E	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		-	+	-	-		-	-	-		-
ŋǁʼ	D4C2FC9154C8E61DC216E622220ADD96	c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	+	+			-	-	-	-	-	-	-			-
ŋǃʼ	D4CCE22F91DB45890B74E5156808A62D	c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	+	+			-	-	-	-	-	-	-			-
dx	D511C18B8C33176956AB6E5FA1977CD1	c-c	consonant		+	-	-	-	+	-	-,+	+,-	-,+	-	-,+	-	-	-	+	-		-	-	-	-	-	+,-	-			-	-	-	-	-	-	-			-
iɛː	D513DA8AD48A251A4CE327FA04F5156B	v-v-d	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	+,-		-
ʑː	D56F47178C84A53B6CAF1C93EEA4864F	c-d	consonant		+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-		-	+	-	-	-	+	-			-	-	-	-	+	-	-			-
