IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
ɾˠ	11760E320D98E837551CEB1197F72C3A	c-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		-	-	-	-	-	+	-			-	+	-	-	-	-	+			-
b̤v̤	1176C48B9EA23F37CC6E075257A55690	c-d-c-d	consonant			-		-	+	-	-	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	+	-		-	-			-
kǁ͓ˀ	118F24FCA04059538BA21C8DB86EA2EE	c-c-d-c	consonant		+	-	-	+	+	+	-	+	+	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
ɾˀ	119BAFBE9FEFCDE6E7DDFE84955A58F5	c-c	consonant		+	+		-	+	+	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	+			-
ʃː	11BA86428BB2A632682677515F0DED9A	c-d	consonant		-	-		-	+	-	+	+	+	+	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
˧˥	11C76F81511DF2396E7CFDE300C3A97E	t-t	tone																																				+	
tʼ	11D5EDE5CF43EE6FA131900D77195344	c-c	consonant		+	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
ɢʰ	11F834EBA5F17C03DF6F360BA08678B6	c-c	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	-	-	-	-	+	-			-	-	+	-		-	-			-
kǁ͓ʰ	120E3D18DF6DB927C86C1FCDCAB25242	c-c-d-c	consonant		+	-	-	+	+	-	-	+	+	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
r̝	1214D761CC44F5F017FD63EA26B45B4B	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	-	-			+
ʈʂʰ	1221CD26FBA96262AA84D0449FF78413	c-c-c	consonant		-	-		-	+	-	-	+	+	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
æ̃ː	12284E9A12BC41F54DBF307EDD516C76	v-c-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	+	-	+	+	-	-		-	+	-	-		+	-			-
qʷʼ	1230081C3710A6F95C105998800A8557	c-d-c	consonant			-	+	-	+	+	-	-	-		+	-	-	-	-	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
t̪n̪	123E6B6BDC7BF21D3A67B17A7C7E0581	c-d-c-d	consonant		+	-		-	+	-	-	+	-	+	-	-	-			-		-	-		-	-,+	-,+	-			-	-,+	-	-	-	-	-			-
o̞a	126730F41EF6E33E5D0B89EB1DDBF3F3	v-d-v	vowel	-		+	+,-		-	-	+	-			+	-		-	-	+,-	-	-	-	-,+	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ĩẽ̞	12DA4DB0DE4561D06045979D8D6B7464	v-c-v-c-d	vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
