m	m 
wai4	w ai˥˩ 
uai4	w ai˥˩ 
wen4	w ə˥˩ n
un4	w ə˥˩ n
wan4	w a˥˩ n
uan4	w a˥˩ n
weng4	w ə˥˩ ŋ
wang4	w a˥˩ ŋ
uang4	w a˥˩ ŋ
yu4	y˥˩ 
ü4	y˥˩ 
yue4	ɥe˥˩ 
üe4	ɥe˥˩ 
yun4	y˥˩ n
ün4	y˥˩ n
yuan4	ɥ ɛ˥˩ n
üan4	ɥ ɛ˥˩ n
er4	a ɚ˥˩ 
zi4	ts ɨ˥˩ 
ci4	tsʰ ɨ˥˩ 
si4	s ɨ˥˩ 
zhi4	ʈʂ ɯ˥˩ 
chi4	ʈʂʰ ɯ˥˩ 
shi4	ʂ ɯ˥˩ 
ri4	ʐ ɯ˥˩ 
ng4	ŋ˥˩ 
n4	n˥˩ 
i	ɨ 
e	ɤ 
he	x ɤ 
a	a 
ei	ei 
ai	ai 
ou	ou 
ao	au 
en	ə n
an	a n
ong	ʊ ŋ
eng	ə ŋ
ang	ɑ ŋ
yi	i 
ye	j e 
ya	j a 
ia	j a 
you	j ou 
iu	j ou 
yao	j au 
iao	j au 
yin	i n
in	i n
yan	j ɛ n
ian	j ɛ n
yong	j ʊ ŋ
iong	j ʊ ŋ
ying	i ŋ
ing	i ŋ
yang	j a ŋ
iang	j a ŋ
wu	u 
u	u 
wo	w ɔ 
uo	w o 
wa	w a 
ua	w a 
wei	w ei 
ui	w ei 
wai	w ai 
uai	w ai 
wen	w ə n
un	w ə n
wan	w a n
uan	w a n
weng	w ə ŋ
wang	w a ŋ
uang	w a ŋ
yu	y 
ü	y 
yue	ɥe 
üe	ɥe 
yun	y n
ün	y n
yuan	ɥ ɛ n
üan	ɥ ɛ n
er	a ɚ 
zi	ts ɨ 
ci	tsʰ ɨ 
si	s ɨ 
zhi	ʈʂ ɯ 
chi	ʈʂʰ ɯ 
shi	ʂ ɯ 
ri	ʐ ɯ 
ng	ŋ 
n	n 
i5	ɨ 
e5	ɤ 
he5	x ɤ 
a5	a 
ei5	ei 
ai5	ai 
ou5	ou 
ao5	au 
en5	ə n
an5	a n
ong5	ʊ ŋ
eng5	ə ŋ
ang5	ɑ ŋ
yi5	i 
ye5	j e 
ya5	j a 
ia5	j a 
you5	j ou 
iu5	j ou 
yao5	j au 
iao5	j au 
yin5	i n
in5	i n
yan5	j ɛ n
ian5	j ɛ n
yong5	j ʊ ŋ
iong5	j ʊ ŋ
ying5	i ŋ
ing5	i ŋ
yang5	j a ŋ
iang5	j a ŋ
wu5	u 
u5	u 
wo5	w ɔ 
uo5	w o 
wa5	w a 
ua5	w a 
wei5	w ei 
ui5	w ei 
wai5	w ai 
uai5	w ai 
wen5	w ə n
un5	w ə n
wan5	w a n
uan5	w a n
weng5	w ə ŋ
wang5	w a ŋ
uang5	w a ŋ
yu5	y 
ü5	y 
yue5	ɥe 
üe5	ɥe 
yun5	y n
ün5	y n
yuan5	ɥ ɛ n
üan5	ɥ ɛ n
er5	a ɚ 
zi5	ts ɨ 
ci5	tsʰ ɨ 
si5	s ɨ 
zhi5	ʈʂ ɯ 
chi5	ʈʂʰ ɯ 
shi5	ʂ ɯ 
ri5	ʐ ɯ 
ng5	ŋ 
n5	n 
