Language,ISO 639-3,ISO 639-1,Segments -,(Source),Orthography -,(Source),Pronlex -,(Source),SBS Texts -,(Source),Swadesh Texts -,(Source),Wikitexts -,(Source)
Macedonian,mkd,mk,Macedonian/Macedonian_segments.html,http://phoible.org/languages/mkd,Macedonian/Macedonian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Macedonian_language,,,sbs-pages/20150418/macedonian.txt,http://www.sbs.com.au/yourlanguage/macedonian/,Macedonian/Macedonian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Macedonian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/mk/,http://mk.wikipedia.org
Malay,zsm,ms,Malay/Malay_segments.html,http://phoible.org/languages/zsm,Malay/Malay_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Malay_language,,,sbs-pages/20150418/malay.txt,http://www.sbs.com.au/yourlanguage/malay/,Malay/Malay_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Malay_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ms/,http://ms.wikipedia.org
Malayalam,mal,ml,Malayalam/Malayalam_segments.html,http://phoible.org/languages/mal,Malayalam/Malayalam_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Malayalam_language,,,sbs-pages/20150418/malayalam.txt,http://www.sbs.com.au/yourlanguage/malayalam?language=ml,Malayalam/Malayalam_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Dravidian_languages,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ml/,http://ml.wikipedia.org
Maltese,mlt,mt,Maltese/Maltese_segments.html,http://phoible.org/languages/mlt,Maltese/Maltese_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Maltese_language,,,sbs-pages/20150418/maltese.txt,http://www.sbs.com.au/yourlanguage/maltese/,Maltese/Maltese_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Maltese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/mt/,http://mt.wikipedia.org
Mandarin,cmn,zh,Mandarin/Mandarin_segments.html,http://phoible.org/languages/cmn,,https://en.wikipedia.org/wiki/Pinyin,,,sbs-pages/20150418/mandarin.txt,http://www.sbs.com.au/yourlanguage/mandarin?language=zh-hans,Mandarin/Mandarin_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Mandarin_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/zh/,http://zh.wikipedia.org
Moroccan Arabic,ary,,Moroccan-Arabic/Moroccan-Arabic_segments.html,http://phoible.org/languages/ary,Moroccan-Arabic/Moroccan-Arabic_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Moroccan_Arabic,,,,http://www.sbs.com.au/yourlanguage/maori/,Moroccan-Arabic/Moroccan-Arabic_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Tunisian_Arabic_Swadesh_list,,
Nepali,nep,ne,Nepali/Nepali_segments.html,http://phoible.org/languages/nep,Nepali/Nepali_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Nepali_language,,,sbs-pages/20150418/nepali.txt,http://www.sbs.com.au/yourlanguage/nepali?language=ne,Nepali/Nepali_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/ne/,http://ne.wikipedia.org
Norwegian,nob,,Norwegian/Norwegian_segments.html,http://phoible.org/languages/nob,Norwegian/Norwegian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Norwegian_language,,,sbs-pages/20150418/norwegian.txt,http://www.sbs.com.au/yourlanguage/norwegian/,Norwegian/Norwegian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Swadesh_lists_for_Germanic_languages,,
Pashto,pst,ps,Pashto/Pashto_segments.html,http://phoible.org/languages/pst,Pashto/Pashto_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Pashto_language,,,sbs-pages/20150418/pashto.txt,http://www.sbs.com.au/yourlanguage/pashto/,Pashto/Pashto_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ps/,http://ps.wikipedia.org
Persian,pes,fa,Persian-Farsi/Persian-Farsi_segments.html,http://phoible.org/languages/pes,Persian-Farsi/Persian-Farsi_ref_orthography_fst.txt,http://en.wikipedia.org/wiki/Persian_language,,,sbs-pages/20150418/persian-farsi.txt,http://www.sbs.com.au/yourlanguage/persian-farsi/,Persian-Farsi/Persian-Farsi_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/fa/,http://fa.wikipedia.org
Polish,pol,pl,Polish/Polish_segments.html,http://phoible.org/languages/pol,Polish/Polish_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Polish_language,,,sbs-pages/20150418/polish.txt,http://www.sbs.com.au/yourlanguage/polish/,Polish/Polish_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Polish_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/pl/,http://pl.wikipedia.org
Portuguese,por,pt,Portuguese/Portuguese_segments.html,http://phoible.org/languages/por,Portuguese/Portuguese_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Portuguese_language,,,sbs-pages/20150418/portuguese.txt,http://www.sbs.com.au/yourlanguage/portuguese/,Portuguese/Portuguese_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Portuguese_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/pt/,http://pt.wikipedia.org
Punjabi,pan,pa,Punjabi/Punjabi_segments.html,http://phoible.org/languages/pan,Punjabi/Punjabi_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Punjabi_language,,,sbs-pages/20150418/punjabi.txt,http://www.sbs.com.au/yourlanguage/punjabi/,Punjabi/Punjabi_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Indo-Iranian_Swadesh_lists_(extended),http://ifp-08.ifp.uiuc.edu/public/wikipedia/pa/,http://pa.wikipedia.org
Romanian,ron,ro,Romanian/Romanian_segments.html,http://phoible.org/languages/ron,Romanian/Romanian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Romanian_language,,,sbs-pages/20150418/romanian.txt,http://www.sbs.com.au/yourlanguage/romanian/,Romanian/Romanian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Romanian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ro/,http://ro.wikipedia.org
Russian,rus,ru,Russian/Russian_segments.html,http://phoible.org/languages/rus,Russian/Russian_ref_orthography_dict.txt,http://en.wikipedia.org/wiki/Russian_language,,,sbs-pages/20150418/russian.txt,http://www.sbs.com.au/yourlanguage/russian/,Russian/Russian_swadesh_list.txt,http://en.wiktionary.org/wiki/Appendix:Russian_Swadesh_list,http://ifp-08.ifp.uiuc.edu/public/wikipedia/ru/,http://ru.wikipedia.org
