IPA	IPA_Core	Place	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill	˦	˦˨	˧˦	˧˨˧
iau	au	Vowel	-		+	-,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
iau˦	au	Vowel	-		+	-,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
iau˦˨	au	Vowel	-		+	-,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
iau˧˦	au	Vowel	-		+	-,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
iau˧˨˧	au	Vowel	-		+	-,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+	-	-	-	-,+,-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
ia˦	iɑ	Vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+			
ia˦˨	iɑ	Vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+		
ia˧˦	iɑ	Vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+	
ia˧˨˧	iɑ	Vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-,+	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+
ie	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-				
ie˦	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-	+			
ie˦˨	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-		+		
ie˧˦	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-			+	
ie˧˨˧	e	Vowel	-		+	-		-	-	+	-			+	-		+	+,-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+	+	-				+
iou	əu	Vowel	-		+	-,+,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
iou˦	əu	Vowel	-		+	-,+,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
iou˦˨	əu	Vowel	-		+	-,+,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
iou˧˦	əu	Vowel	-		+	-,+,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
iou˧˨˧	əu	Vowel	-		+	-,+,+		-	-	+	-			+	-		+,-,-	+,-,+	-,+,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
iu	ɨ	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-				
iu˦	ɨ	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-	+			
iu˦˨	ɨ	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-		+		
iu˧˦	ɨ	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-			+	
iu˧˨˧	ɨ	Vowel	-		+	-,+		-	-	+	-			+	-		+,-	+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+	+	-				+
